Activity standard occupational classification,Mode of employment,Sex,Contract marker,Nationality,Academic Year,Number
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),Non-European Union,2020/21,10
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),Non-European Union,2016/17,0
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),Non-European Union,2017/18,0
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),Non-European Union,2018/19,0
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),Non-European Union,2019/20,0
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),Non-European Union,2020/21,0
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),Non-European Union,2016/17,10
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),Non-European Union,2017/18,10
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),Non-European Union,2018/19,10
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),Non-European Union,2019/20,5
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),Non-European Union,2020/21,10
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),Non-European Union,2016/17,5
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),Non-European Union,2017/18,5
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),Non-European Union,2018/19,5
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),Non-European Union,2019/20,0
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),Non-European Union,2020/21,5
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),Not known,2016/17,0
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),Not known,2017/18,0
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),Not known,2018/19,0
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),Not known,2019/20,0
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),Not known,2020/21,0
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),Not known,2016/17,0
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),Not known,2017/18,0
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),Not known,2018/19,0
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),Not known,2019/20,0
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),Not known,2020/21,0
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),UK,2016/17,170
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),UK,2017/18,150
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),UK,2018/19,165
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),UK,2019/20,150
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),UK,2020/21,170
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),UK,2016/17,35
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),UK,2017/18,40
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),UK,2018/19,50
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),UK,2019/20,50
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),UK,2020/21,45
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),UK,2016/17,240
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),UK,2017/18,210
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),UK,2018/19,220
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),UK,2019/20,205
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),UK,2020/21,225
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),UK,2016/17,45
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),UK,2017/18,40
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),UK,2018/19,45
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),UK,2019/20,40
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),UK,2020/21,45
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),All,2016/17,185
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),All,2017/18,170
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),All,2018/19,195
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),All,2019/20,170
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),All,2020/21,195
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),All,2016/17,40
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),All,2017/18,45
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),All,2018/19,50
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),All,2019/20,50
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),All,2020/21,50
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),All,2016/17,270
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),All,2017/18,235
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),All,2018/19,245
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),All,2019/20,225
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),All,2020/21,250
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),All,2016/17,50
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),All,2017/18,45
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),All,2018/19,50
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),All,2019/20,45
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),All,2020/21,50
"Managers, directors and senior officials",Part-time,Other,Academic (excluding atypical),All,2016/17,0
"Managers, directors and senior officials",Part-time,Other,Academic (excluding atypical),All,2017/18,0
"Managers, directors and senior officials",Part-time,Other,Academic (excluding atypical),All,2018/19,0
"Managers, directors and senior officials",Part-time,Other,Academic (excluding atypical),All,2019/20,0
"Managers, directors and senior officials",Part-time,Other,Academic (excluding atypical),All,2020/21,0
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),All,2016/17,455
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),All,2017/18,410
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),All,2018/19,435
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),All,2019/20,390
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),All,2020/21,445
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),European Union,2016/17,30
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),European Union,2017/18,25
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),European Union,2018/19,30
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),European Union,2019/20,25
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),European Union,2020/21,30
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),Non-European Union,2016/17,15
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),Non-European Union,2017/18,20
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),Non-European Union,2018/19,20
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),Non-European Union,2019/20,10
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),Non-European Union,2020/21,15
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),Not known,2016/17,0
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),Not known,2017/18,0
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),Not known,2018/19,0
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),Not known,2019/20,0
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),Not known,2020/21,0
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),UK,2016/17,410
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),UK,2017/18,360
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),UK,2018/19,385
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),UK,2019/20,355
"Managers, directors and senior officials",Full-time,All,Academic (excluding atypical),UK,2020/21,395
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),All,2016/17,90
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),All,2017/18,90
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),All,2018/19,100
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),All,2019/20,95
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),All,2020/21,100
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),European Union,2016/17,5
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),European Union,2017/18,5
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),European Union,2018/19,5
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),European Union,2019/20,5
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),European Union,2020/21,5
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),Non-European Union,2016/17,5
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),Non-European Union,2017/18,5
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),Non-European Union,2018/19,5
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),Non-European Union,2019/20,0
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),Non-European Union,2020/21,5
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),UK,2016/17,80
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),UK,2017/18,85
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),UK,2018/19,90
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),UK,2019/20,90
"Managers, directors and senior officials",Part-time,All,Academic (excluding atypical),UK,2020/21,90
"Managers, directors and senior officials",All,All,Academic (excluding atypical),All,2016/17,540
"Managers, directors and senior officials",All,All,Academic (excluding atypical),All,2017/18,500
"Managers, directors and senior officials",All,All,Academic (excluding atypical),All,2018/19,540
"Managers, directors and senior officials",All,All,Academic (excluding atypical),All,2019/20,490
"Managers, directors and senior officials",All,All,Academic (excluding atypical),All,2020/21,540
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),All,2016/17,225
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),All,2017/18,220
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),All,2018/19,245
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),All,2019/20,220
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),All,2020/21,240
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),All,2016/17,315
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),All,2017/18,285
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),All,2018/19,295
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),All,2019/20,270
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),All,2020/21,300
"Managers, directors and senior officials",All,Other,Academic (excluding atypical),All,2016/17,0
"Managers, directors and senior officials",All,Other,Academic (excluding atypical),All,2017/18,0
"Managers, directors and senior officials",All,Other,Academic (excluding atypical),All,2018/19,0
"Managers, directors and senior officials",All,Other,Academic (excluding atypical),All,2019/20,0
"Managers, directors and senior officials",All,Other,Academic (excluding atypical),All,2020/21,0
"Managers, directors and senior officials",All,All,Academic (excluding atypical),European Union,2016/17,35
"Managers, directors and senior officials",All,All,Academic (excluding atypical),European Union,2017/18,30
"Managers, directors and senior officials",All,All,Academic (excluding atypical),European Union,2018/19,35
"Managers, directors and senior officials",All,All,Academic (excluding atypical),European Union,2019/20,30
"Managers, directors and senior officials",All,All,Academic (excluding atypical),European Union,2020/21,35
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),European Union,2016/17,20
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),European Union,2017/18,15
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),European Union,2018/19,20
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),European Union,2019/20,15
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),European Union,2020/21,15
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),European Union,2016/17,20
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),European Union,2017/18,15
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),European Union,2018/19,15
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),European Union,2019/20,15
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),European Union,2020/21,20
"Managers, directors and senior officials",All,Other,Academic (excluding atypical),European Union,2016/17,0
"Managers, directors and senior officials",All,Other,Academic (excluding atypical),European Union,2017/18,0
"Managers, directors and senior officials",All,Other,Academic (excluding atypical),European Union,2018/19,0
"Managers, directors and senior officials",All,Other,Academic (excluding atypical),European Union,2019/20,0
"Managers, directors and senior officials",All,Other,Academic (excluding atypical),European Union,2020/21,0
"Managers, directors and senior officials",All,All,Academic (excluding atypical),Non-European Union,2016/17,20
"Managers, directors and senior officials",All,All,Academic (excluding atypical),Non-European Union,2017/18,25
"Managers, directors and senior officials",All,All,Academic (excluding atypical),Non-European Union,2018/19,25
"Managers, directors and senior officials",All,All,Academic (excluding atypical),Non-European Union,2019/20,10
"Managers, directors and senior officials",All,All,Academic (excluding atypical),Non-European Union,2020/21,20
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),Non-European Union,2016/17,5
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),Non-European Union,2017/18,10
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),Non-European Union,2018/19,15
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),Non-European Union,2019/20,5
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),Non-European Union,2020/21,10
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),Non-European Union,2016/17,10
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),Non-European Union,2017/18,15
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),Non-European Union,2018/19,10
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),Non-European Union,2019/20,5
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),Non-European Union,2020/21,10
"Managers, directors and senior officials",All,All,Academic (excluding atypical),Not known,2016/17,0
"Managers, directors and senior officials",All,All,Academic (excluding atypical),Not known,2017/18,0
"Managers, directors and senior officials",All,All,Academic (excluding atypical),Not known,2018/19,0
"Managers, directors and senior officials",All,All,Academic (excluding atypical),Not known,2019/20,0
"Managers, directors and senior officials",All,All,Academic (excluding atypical),Not known,2020/21,0
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),Not known,2016/17,0
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),Not known,2017/18,0
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),Not known,2018/19,0
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),Not known,2019/20,0
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),Not known,2020/21,0
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),Not known,2016/17,0
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),Not known,2017/18,0
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),Not known,2018/19,0
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),Not known,2019/20,0
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),Not known,2020/21,0
"Managers, directors and senior officials",All,All,Academic (excluding atypical),UK,2016/17,485
"Managers, directors and senior officials",All,All,Academic (excluding atypical),UK,2017/18,445
"Managers, directors and senior officials",All,All,Academic (excluding atypical),UK,2018/19,475
"Managers, directors and senior officials",All,All,Academic (excluding atypical),UK,2019/20,445
"Managers, directors and senior officials",All,All,Academic (excluding atypical),UK,2020/21,485
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),UK,2016/17,200
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),UK,2017/18,190
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),UK,2018/19,215
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),UK,2019/20,200
"Managers, directors and senior officials",All,Female,Academic (excluding atypical),UK,2020/21,215
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),UK,2016/17,285
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),UK,2017/18,255
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),UK,2018/19,265
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),UK,2019/20,245
"Managers, directors and senior officials",All,Male,Academic (excluding atypical),UK,2020/21,270
"Managers, directors and senior officials",Part-time,Female,Academic atypical,UK,2016/17,0
"Managers, directors and senior officials",Part-time,Female,Academic atypical,UK,2017/18,0
"Managers, directors and senior officials",Part-time,Female,Academic atypical,UK,2018/19,0
"Managers, directors and senior officials",Part-time,Female,Academic atypical,UK,2019/20,0
"Managers, directors and senior officials",Part-time,Female,Academic atypical,UK,2020/21,0
"Managers, directors and senior officials",Part-time,Male,Academic atypical,UK,2016/17,5
"Managers, directors and senior officials",Part-time,Male,Academic atypical,UK,2017/18,0
"Managers, directors and senior officials",Part-time,Male,Academic atypical,UK,2018/19,0
"Managers, directors and senior officials",Part-time,Male,Academic atypical,UK,2019/20,0
"Managers, directors and senior officials",Part-time,Male,Academic atypical,UK,2020/21,0
"Managers, directors and senior officials",Part-time,Female,Academic atypical,All,2016/17,0
"Managers, directors and senior officials",Part-time,Female,Academic atypical,All,2017/18,0
"Managers, directors and senior officials",Part-time,Female,Academic atypical,All,2018/19,0
"Managers, directors and senior officials",Part-time,Female,Academic atypical,All,2019/20,0
"Managers, directors and senior officials",Part-time,Female,Academic atypical,All,2020/21,0
"Managers, directors and senior officials",Part-time,Male,Academic atypical,All,2016/17,5
"Managers, directors and senior officials",Part-time,Male,Academic atypical,All,2017/18,0
"Managers, directors and senior officials",Part-time,Male,Academic atypical,All,2018/19,0
"Managers, directors and senior officials",Part-time,Male,Academic atypical,All,2019/20,0
"Managers, directors and senior officials",Part-time,Male,Academic atypical,All,2020/21,0
"Managers, directors and senior officials",Part-time,All,Academic atypical,All,2016/17,5
"Managers, directors and senior officials",Part-time,All,Academic atypical,All,2017/18,5
"Managers, directors and senior officials",Part-time,All,Academic atypical,All,2018/19,0
"Managers, directors and senior officials",Part-time,All,Academic atypical,All,2019/20,0
"Managers, directors and senior officials",Part-time,All,Academic atypical,All,2020/21,0
"Managers, directors and senior officials",Part-time,All,Academic atypical,UK,2016/17,5
"Managers, directors and senior officials",Part-time,All,Academic atypical,UK,2017/18,5
"Managers, directors and senior officials",Part-time,All,Academic atypical,UK,2018/19,0
"Managers, directors and senior officials",Part-time,All,Academic atypical,UK,2019/20,0
"Managers, directors and senior officials",Part-time,All,Academic atypical,UK,2020/21,0
"Managers, directors and senior officials",All,All,Academic atypical,All,2016/17,5
"Managers, directors and senior officials",All,All,Academic atypical,All,2017/18,5
"Managers, directors and senior officials",All,All,Academic atypical,All,2018/19,0
"Managers, directors and senior officials",All,All,Academic atypical,All,2019/20,0
"Managers, directors and senior officials",All,All,Academic atypical,All,2020/21,0
"Managers, directors and senior officials",All,Female,Academic atypical,All,2016/17,0
"Managers, directors and senior officials",All,Female,Academic atypical,All,2017/18,0
"Managers, directors and senior officials",All,Female,Academic atypical,All,2018/19,0
"Managers, directors and senior officials",All,Female,Academic atypical,All,2019/20,0
"Managers, directors and senior officials",All,Female,Academic atypical,All,2020/21,0
"Managers, directors and senior officials",All,Male,Academic atypical,All,2016/17,5
"Managers, directors and senior officials",All,Male,Academic atypical,All,2017/18,0
"Managers, directors and senior officials",All,Male,Academic atypical,All,2018/19,0
"Managers, directors and senior officials",All,Male,Academic atypical,All,2019/20,0
"Managers, directors and senior officials",All,Male,Academic atypical,All,2020/21,0
"Managers, directors and senior officials",All,All,Academic atypical,UK,2016/17,5
"Managers, directors and senior officials",All,All,Academic atypical,UK,2017/18,5
"Managers, directors and senior officials",All,All,Academic atypical,UK,2018/19,0
"Managers, directors and senior officials",All,All,Academic atypical,UK,2019/20,0
"Managers, directors and senior officials",All,All,Academic atypical,UK,2020/21,0
"Managers, directors and senior officials",All,Female,Academic atypical,UK,2016/17,0
"Managers, directors and senior officials",All,Female,Academic atypical,UK,2017/18,0
"Managers, directors and senior officials",All,Female,Academic atypical,UK,2018/19,0
"Managers, directors and senior officials",All,Female,Academic atypical,UK,2019/20,0
"Managers, directors and senior officials",All,Female,Academic atypical,UK,2020/21,0
"Managers, directors and senior officials",All,Male,Academic atypical,UK,2016/17,5
"Managers, directors and senior officials",All,Male,Academic atypical,UK,2017/18,0
"Managers, directors and senior officials",All,Male,Academic atypical,UK,2018/19,0
"Managers, directors and senior officials",All,Male,Academic atypical,UK,2019/20,0
"Managers, directors and senior officials",All,Male,Academic atypical,UK,2020/21,0
Professional occupations,Full-time,Female,Academic (excluding atypical),European Union,2016/17,12040
Professional occupations,Full-time,Female,Academic (excluding atypical),European Union,2017/18,12420
Professional occupations,Full-time,Female,Academic (excluding atypical),European Union,2018/19,12630
Professional occupations,Full-time,Female,Academic (excluding atypical),European Union,2019/20,12780
Professional occupations,Full-time,Female,Academic (excluding atypical),European Union,2020/21,12710
Professional occupations,Part-time,Female,Academic (excluding atypical),European Union,2016/17,5180
Professional occupations,Part-time,Female,Academic (excluding atypical),European Union,2017/18,5470
Professional occupations,Part-time,Female,Academic (excluding atypical),European Union,2018/19,5755
Professional occupations,Part-time,Female,Academic (excluding atypical),European Union,2019/20,5965
Professional occupations,Part-time,Female,Academic (excluding atypical),European Union,2020/21,5875
Professional occupations,Full-time,Male,Academic (excluding atypical),European Union,2016/17,14960
Professional occupations,Full-time,Male,Academic (excluding atypical),European Union,2017/18,15185
Professional occupations,Full-time,Male,Academic (excluding atypical),European Union,2018/19,15290
Professional occupations,Full-time,Male,Academic (excluding atypical),European Union,2019/20,15060
Professional occupations,Full-time,Male,Academic (excluding atypical),European Union,2020/21,14935
Professional occupations,Part-time,Male,Academic (excluding atypical),European Union,2016/17,3575
Professional occupations,Part-time,Male,Academic (excluding atypical),European Union,2017/18,4030
Professional occupations,Part-time,Male,Academic (excluding atypical),European Union,2018/19,4240
Professional occupations,Part-time,Male,Academic (excluding atypical),European Union,2019/20,4380
Professional occupations,Part-time,Male,Academic (excluding atypical),European Union,2020/21,4455
Professional occupations,Full-time,Other,Academic (excluding atypical),European Union,2016/17,0
Professional occupations,Full-time,Other,Academic (excluding atypical),European Union,2017/18,5
Professional occupations,Full-time,Other,Academic (excluding atypical),European Union,2018/19,10
Professional occupations,Full-time,Other,Academic (excluding atypical),European Union,2019/20,40
Professional occupations,Full-time,Other,Academic (excluding atypical),European Union,2020/21,45
Professional occupations,Part-time,Other,Academic (excluding atypical),European Union,2016/17,0
Professional occupations,Part-time,Other,Academic (excluding atypical),European Union,2017/18,0
Professional occupations,Part-time,Other,Academic (excluding atypical),European Union,2018/19,0
Professional occupations,Part-time,Other,Academic (excluding atypical),European Union,2019/20,25
Professional occupations,Part-time,Other,Academic (excluding atypical),European Union,2020/21,35
Professional occupations,Full-time,Female,Academic (excluding atypical),Non-European Union,2016/17,7530
Professional occupations,Full-time,Female,Academic (excluding atypical),Non-European Union,2017/18,8060
Professional occupations,Full-time,Female,Academic (excluding atypical),Non-European Union,2018/19,8720
Professional occupations,Full-time,Female,Academic (excluding atypical),Non-European Union,2019/20,9455
Professional occupations,Full-time,Female,Academic (excluding atypical),Non-European Union,2020/21,10080
Professional occupations,Part-time,Female,Academic (excluding atypical),Non-European Union,2016/17,2995
Professional occupations,Part-time,Female,Academic (excluding atypical),Non-European Union,2017/18,3310
Professional occupations,Part-time,Female,Academic (excluding atypical),Non-European Union,2018/19,3505
Professional occupations,Part-time,Female,Academic (excluding atypical),Non-European Union,2019/20,3810
Professional occupations,Part-time,Female,Academic (excluding atypical),Non-European Union,2020/21,3920
Professional occupations,Full-time,Male,Academic (excluding atypical),Non-European Union,2016/17,12435
Professional occupations,Full-time,Male,Academic (excluding atypical),Non-European Union,2017/18,13125
Professional occupations,Full-time,Male,Academic (excluding atypical),Non-European Union,2018/19,13995
Professional occupations,Full-time,Male,Academic (excluding atypical),Non-European Union,2019/20,14875
Professional occupations,Full-time,Male,Academic (excluding atypical),Non-European Union,2020/21,15555
Professional occupations,Part-time,Male,Academic (excluding atypical),Non-European Union,2016/17,2610
Professional occupations,Part-time,Male,Academic (excluding atypical),Non-European Union,2017/18,3035
Professional occupations,Part-time,Male,Academic (excluding atypical),Non-European Union,2018/19,3245
Professional occupations,Part-time,Male,Academic (excluding atypical),Non-European Union,2019/20,3510
Professional occupations,Part-time,Male,Academic (excluding atypical),Non-European Union,2020/21,3555
Professional occupations,Full-time,Other,Academic (excluding atypical),Non-European Union,2016/17,0
Professional occupations,Full-time,Other,Academic (excluding atypical),Non-European Union,2017/18,5
Professional occupations,Full-time,Other,Academic (excluding atypical),Non-European Union,2018/19,10
Professional occupations,Full-time,Other,Academic (excluding atypical),Non-European Union,2019/20,25
Professional occupations,Full-time,Other,Academic (excluding atypical),Non-European Union,2020/21,40
Professional occupations,Part-time,Other,Academic (excluding atypical),Non-European Union,2016/17,0
Professional occupations,Part-time,Other,Academic (excluding atypical),Non-European Union,2017/18,0
